,GM,P,Phase,T,X(C),X(FE),"Y(FCC_A1,0,FE)","Y(FCC_A1,1,C)","Y(FCC_A1,1,VA)"
0,33962.26751712246,100000.0,FCC_A1,300.0,0.5,0.5,1.0,1.0,0.0
1,-2797.086171324235,100000.0,FCC_A1,300.0,0.0,1.0,1.0,0.0,1.0
2,11275.575307552637,100000.0,FCC_A1,300.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
3,7642.409260514851,100000.0,FCC_A1,300.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
4,26537.905933131675,100000.0,FCC_A1,300.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
5,25498.906678249044,100000.0,FCC_A1,300.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
6,-608.5274522668351,100000.0,FCC_A1,300.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
7,15267.900500586427,100000.0,FCC_A1,300.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
8,11702.762223302136,100000.0,FCC_A1,300.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
9,4106.747032561652,100000.0,FCC_A1,300.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
10,31911.59318276031,100000.0,FCC_A1,300.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
11,6750.809278123507,100000.0,FCC_A1,300.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
12,33962.26751055575,100000.0,FCC_A1,300.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
13,-2797.086171324235,100000.0,FCC_A1,300.0,0.0,1.0,1.0,0.0,1.0
14,33951.9998667317,100000.0,FCC_A1,300.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
15,33838.986760369895,100000.0,FCC_A1,300.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
16,33962.266947917095,100000.0,FCC_A1,300.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
17,33962.266431580654,100000.0,FCC_A1,300.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
18,6572.3843573931335,100000.0,FCC_A1,300.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
19,33961.534834404105,100000.0,FCC_A1,300.0,0.49999639892742553,0.5000036010725746,1.0,0.999985595813443,1.4404186557041994e-05
20,33954.55615856777,100000.0,FCC_A1,300.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
21,32413.861020577075,100000.0,FCC_A1,300.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
22,33962.267495637076,100000.0,FCC_A1,300.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
23,33731.511451454564,100000.0,FCC_A1,300.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
24,30809.165044234476,100000.0,FCC_A1,400.0,0.5,0.5,1.0,1.0,0.0
25,-6791.304496423341,100000.0,FCC_A1,400.0,0.0,1.0,1.0,0.0,1.0
26,7367.4491874941095,100000.0,FCC_A1,400.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
27,3650.845227551097,100000.0,FCC_A1,400.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
28,23074.93946872311,100000.0,FCC_A1,400.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
29,22001.040853139435,100000.0,FCC_A1,400.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
30,-4690.611449734352,100000.0,FCC_A1,400.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
