Phase,T,P,X(AL),X(MG),Type,Value
FCC_A1,298.15,101325,0.75,0.25,MIX_HM,3.72E+02
FCC_A1,298.15,101325,0.5,0.5,MIX_HM,3.94E+02
FCC_A1,298.15,101325,0.25,0.75,MIX_HM,1.46E+02
